位置,经纬度
广东省深圳市南山区百分百公寓,"113.928481,22.526173"
广东省深圳市宝安区锦明花园,"113.856055,22.577013"
广东省深圳市宝安区理想居,"113.887000,22.566625"
广东省深圳市龙岗区国都花园,"114.118228,22.605600"
广东省深圳市福田区福民佳园,"114.065582,22.522574"
广东省深圳市福田区凯丰花园,"114.064544,22.567406"
广东省深圳市福田区聚豪园,"114.045810,22.546189"
广东省深圳市福田区尚书苑,"114.037626,22.562898"
广东省深圳市罗湖区碧湖花园,"114.120568,22.557583"
广东省深圳市南山区后海雅园,"113.936079,22.493248"
广东省深圳市罗湖区广岭家园,"114.154725,22.555181"
广东省深圳市南山区侨香诺园,"113.974185,22.551823"
广东省深圳市南山区后海公馆,"113.937373,22.491419"
广东省深圳市南山区海晖大厦,"113.925628,22.507949"
广东省深圳市南山区天源大厦,"113.922377,22.521946"
广东省深圳市龙岗区大世纪花园三期,"114.126718,22.612274"
广东省深圳市盐田区山海阳光园,"114.222218,22.556973"
广东省深圳市南山区龙联花园,"113.962585,22.569223"
广东省深圳市南山区花果山小区,"113.925178,22.493300"
广东省深圳市福田区安通花园,"114.047403,22.552429"
广东省深圳市龙岗区鸿润豪苑,"114.152671,22.603221"
广东省深圳市龙岗区加洲花园,"114.136838,22.591613"
广东省深圳市龙岗区鸿景豪苑,"114.129866,22.610563"
广东省深圳市南山区碧海天家园,"113.930073,22.513600"
广东省深圳市罗湖区湖景大厦,"114.123451,22.565260"
广东省深圳市南山区心语雅园,"113.912034,22.516630"
广东省深圳市南山区物资公司宿舍,"113.919573,22.531801"
广东省深圳市南山区前海花园一期,"113.913871,22.533667"
广东省深圳市龙岗区吉星花园,"114.117711,22.594134"
广东省深圳市福田区嘉隆星苑,"114.030757,22.555699"
广东省深圳市龙岗区绿色高尔夫天籁山庄,"114.279140,22.726440"
广东省深圳市福田区颐林雅院一期,"114.060050,22.570750"
广东省深圳市福田区恒福花园,"114.067636,22.527077"
广东省深圳市南山区龙都花园,"113.959737,22.569316"
广东省深圳市南山区瑞铧苑,"113.932961,22.512431"
广东省深圳市龙岗区雅庭名苑,"114.228797,22.700531"
广东省深圳市龙岗区愉园新苑,"114.237579,22.720039"
广东省深圳市龙华区壹城中心花园,"114.028028,22.649074"
广东省深圳市南山区豪方现代豪园,"113.935133,22.545437"
广东省深圳市福田区香逸名园,"114.040744,22.542584"
广东省深圳市南山区紫竹园,"113.925733,22.504086"
广东省深圳市龙华区大信花园,"114.021391,22.649079"
广东省深圳市盐田区东部华侨城天麓,"114.295063,22.608600"
广东省深圳市龙岗区龙岸花园,"114.056834,22.615852"
广东省深圳市宝安区新锦安雅园,"113.903639,22.549284"
广东省深圳市福田区鸣泉居,"114.012043,22.548327"
广东省深圳市龙华区南国丽园,"114.029461,22.653688"
广东省深圳市宝安区西城丰和家园,"113.878836,22.586832"
广东省深圳市宝安区泰华大厦,"113.899570,22.573033"
广东省深圳市罗湖区翠都花园,"114.129635,22.557407"
广东省深圳市福田区华茂苑,"114.057907,22.563535"
广东省深圳市福田区香雅园,"114.022831,22.555442"
广东省深圳市南山区蓝漪花园,"113.927780,22.485060"
广东省深圳市福田区香蜜湖瀚城,"114.021640,22.555415"
广东省深圳市罗湖区金鼎大厦,"114.124895,22.541381"
广东省深圳市龙华区锦绣御园一期,"114.028386,22.660546"
广东省深圳市罗湖区源兴居,"114.122580,22.562388"
广东省深圳市龙岗区中海日辉台,"114.068029,22.640741"
广东省深圳市龙岗区金桔苑,"114.151545,22.604126"
广东省深圳市龙华区可乐园,"113.999412,22.664085"
广东省深圳市罗湖区萃峰阁,"114.158677,22.555948"
广东省深圳市宝安区深业新岸线二期,"113.875970,22.557132"
广东省深圳市罗湖区罗湖大厦,"114.117559,22.536555"
广东省深圳市福田区星河雅居,"114.044673,22.524050"
广东省深圳市盐田区东埔海景花园,"114.237786,22.549303"
广东省深圳市南山区浪琴屿花园,"113.935850,22.513830"
广东省深圳市南山区京光海景花园,"113.930437,22.506025"
广东省深圳市福田区中央花园,"114.052523,22.523323"
广东省深圳市南山区南海城中心,"113.922983,22.518429"
广东省深圳市宝安区御景台,"113.912174,22.560509"
广东省深圳市南山区水木丹华园,"113.989480,22.591655"
广东省深圳市南山区山海翠庐,"113.904690,22.508119"
广东省深圳市南山区心语家园,"113.910234,22.514601"
广东省深圳市南山区万裕椰风海岸家园,"113.910892,22.531400"
广东省深圳市南山区侨城豪苑,"113.968796,22.541603"
广东省深圳市福田区绿景新苑,"114.045820,22.523632"
广东省深圳市罗湖区谱心苑,"114.132868,22.587198"
广东省深圳市盐田区东海岸二期,"114.299534,22.601095"
广东省深圳市南山区万豪御景苑,"113.892391,22.487439"
广东省深圳市龙岗区祥云苑,"114.141867,22.607072"
广东省深圳市福田区景新花园,"114.047291,22.554535"
广东省深圳市南山区旺海怡苑,"113.917726,22.536598"
广东省深圳市福田区合正名园,"114.044339,22.542467"
广东省深圳市福田区龙轩豪庭,"114.062065,22.520509"
广东省深圳市南山区锦绣花园四期,"113.994871,22.536991"
广东省深圳市龙岗区月朗苑,"114.066753,22.615423"
广东省深圳市龙岗区满庭芳,"114.140517,22.695272"
广东省深圳市南山区汉京峰景苑,"113.920113,22.505386"
广东省深圳市龙华区新阳丽舍,"114.051319,22.637739"
广东省深圳市南山区半岛花园a区,"113.934280,22.499775"
广东省深圳市龙华区中环花园,"114.023632,22.649737"
广东省深圳市宝安区海湾明珠一期,"113.860613,22.575038"
广东省深圳市南山区美丽湾,"113.920649,22.511533"
广东省深圳市盐田区海语东园,"114.304486,22.599826"
广东省深圳市龙岗区尚景欣园,"114.251183,22.729271"
广东省深圳市罗湖区东湖豪庭,"114.144899,22.576839"
广东省深圳市福田区福民新村,"114.069595,22.523808"
广东省深圳市福田区特发小区,"114.030278,22.554936"
广东省深圳市南山区南水小区,"113.922787,22.487811"
广东省深圳市福田区润华苑,"114.041925,22.567007"
广东省深圳市龙华区东华明珠园,"114.031954,22.653086"
广东省深圳市南山区华侨城,"113.992885,22.537265"
广东省深圳市南山区月亮湾山庄,"113.888305,22.489940"
广东省深圳市南山区桂园小区,"113.930250,22.503019"
广东省深圳市南山区悠然天地家园,"113.926793,22.538754"
广东省深圳市福田区桑达大厦,"114.089331,22.544915"
广东省深圳市南山区世纪村3期,"113.964787,22.532200"
广东省深圳市龙岗区紫薇阁,"114.141411,22.615088"
广东省深圳市罗湖区正锦园,"114.177276,22.563378"
广东省深圳市罗湖区碧中园,"114.141921,22.561886"
广东省深圳市宝安区风尚时代,"113.891851,22.576727"
广东省深圳市福田区紫光名苑,"114.067569,22.524167"
广东省深圳市福田区景秀年华,"114.031167,22.557215"
广东省深圳市福田区栖棠映山花园,"114.015146,22.562887"
广东省深圳市福田区宝田苑,"114.060264,22.514553"
广东省深圳市南山区世纪假日广场,"113.972619,22.538374"
广东省深圳市南山区东海万豪广场,"113.950721,22.525020"
广东省深圳市龙岗区京南华庭,"114.122303,22.599417"
广东省深圳市龙华区美丽家园南区,"114.034360,22.656487"
广东省深圳市南山区大南山紫园,"113.897989,22.495884"
广东省深圳市南山区春树里,"113.934260,22.486566"
广东省深圳市福田区物业时代新居,"114.050227,22.518079"
广东省深圳市宝安区西海岸花园,"113.888683,22.563422"
广东省深圳市龙华区福安阁,"114.021955,22.715642"
广东省深圳市南山区南山花园,"113.896152,22.498040"
广东省深圳市罗湖区宝丽大厦,"114.110442,22.546914"
广东省深圳市南山区卓越维港,"113.941249,22.497786"
广东省深圳市福田区航天立业华庭,"114.094778,22.543825"
广东省深圳市南山区学府花园,"113.925741,22.526331"
广东省深圳市南山区皇庭港湾,"113.941953,22.491765"
广东省深圳市龙华区绿茵华庭,"114.025982,22.664873"
广东省深圳市南山区天悦园,"113.930036,22.517052"
广东省深圳市龙华区文康楼,"114.033354,22.634957"
广东省深圳市龙岗区怡乐花园,"114.142917,22.620825"
广东省深圳市宝安区富怡花园,"113.899607,22.559855"
广东省深圳市福田区福景大厦,"114.069024,22.544357"
广东省深圳市坪山区丹梓龙庭,"114.394886,22.741885"
广东省深圳市宝安区宝城花园,"113.870534,22.568077"
广东省深圳市罗湖区深宝公司宿舍,"114.125488,22.563495"
广东省深圳市福田区嘉麟豪庭,"114.066654,22.538933"
广东省深圳市南山区缤纷年华家园,"113.928466,22.542568"
广东省深圳市龙岗区富康苑,"114.253260,22.721949"
广东省深圳市福田区嘉洲豪园二期,"114.044100,22.526939"
广东省深圳市南山区深航飞行员公寓,"113.925889,22.526543"
广东省深圳市罗湖区翠苑大厦,"114.137782,22.568649"
广东省深圳市福田区凯伦花园,"114.063129,22.565365"
广东省深圳市宝安区御龙居,"113.889067,22.590847"
广东省深圳市南山区丽湾国际公寓,"113.891503,22.495638"
广东省深圳市罗湖区云景豪园,"114.126797,22.540193"
广东省深圳市龙华区城市明珠花园,"114.028474,22.665991"
广东省深圳市龙华区美丽家园北区,"114.033270,22.657984"
广东省深圳市南山区曦湾华府,"113.941304,22.501607"
广东省深圳市南山区荔海春城花园,"113.916430,22.505910"
广东省深圳市龙岗区紫薇苑,"114.240944,22.715973"
广东省深圳市龙岗区南油花园,"114.110156,22.696730"
广东省深圳市宝安区山语华庭,"113.897948,22.589369"
广东省深圳市龙岗区华浩源b区,"114.126569,22.623207"
广东省深圳市龙岗区威凤山庄,"114.145490,22.696603"
广东省深圳市南山区金钟大厦,"113.928886,22.517873"
广东省深圳市福田区市政大院,"114.043058,22.548100"
广东省深圳市南山区南新苑,"113.918616,22.521667"
广东省深圳市宝安区安泰花园,"113.872827,22.568411"
广东省深圳市罗湖区曦龙山庄,"114.155652,22.550204"
广东省深圳市盐田区天富花园,"114.231094,22.549060"
广东省深圳市福田区景田天健花园,"114.033745,22.557085"
广东省深圳市福田区福泉花园,"114.065116,22.526577"
广东省深圳市罗湖区莲花阁,"114.169822,22.561107"
广东省深圳市南山区汇宾广场,"113.917421,22.509437"
广东省深圳市福田区里奥de花园,"114.065826,22.527718"
广东省深圳市罗湖区钻石时代,"114.128889,22.542025"
广东省深圳市福田区星河华居,"114.070807,22.523709"
广东省深圳市福田区缔梦园,"114.042135,22.551777"
广东省深圳市南山区天海花园,"113.934005,22.512170"
广东省深圳市南山区朗苑,"113.960901,22.569655"
广东省深圳市南山区硅谷别墅,"113.956451,22.551585"
广东省深圳市宝安区碧湾雅园,"113.869344,22.565368"
广东省深圳市南山区东滨华苑,"113.926097,22.505554"
广东省深圳市南山区向南西海花园,"113.918501,22.522379"
广东省深圳市南山区爱榕园二期,"113.930812,22.500815"
广东省深圳市南山区海韵嘉园,"113.924419,22.486078"
广东省深圳市福田区青莲公寓,"114.057702,22.561351"
广东省深圳市宝安区福中福幸福海岸,"113.878401,22.559262"
广东省深圳市宝安区品尚居,"113.891712,22.573366"
广东省深圳市南山区招商桃花园二期,"113.917532,22.502596"
广东省深圳市南山区龟山花园别墅,"113.909520,22.485593"
广东省深圳市罗湖区心怡花园,"114.138888,22.582419"
广东省深圳市南山区东帝海景家园,"113.935903,22.489661"
广东省深圳市龙华区康华苑,"114.026249,22.651586"
广东省深圳市龙岗区友联花园,"114.139800,22.617898"
广东省深圳市盐田区山海华庭,"114.231320,22.549399"
广东省深圳市罗湖区花半里雅筑,"114.121025,22.579759"
广东省深圳市宝安区泰华花园,"113.898364,22.573554"
广东省深圳市罗湖区佳宁娜友谊广场,"114.119591,22.536913"
广东省深圳市南山区桂园住宅一区,"113.929461,22.502036"
广东省深圳市龙华区康乐花园,"114.028909,22.657394"
广东省深圳市龙华区大信花园,"114.021391,22.649079"
广东省深圳市南山区世纪村2期,"113.964360,22.533840"
广东省深圳市福田区玮鹏花园,"114.094626,22.542192"
广东省深圳市龙岗区鸿进花园,"114.242631,22.710922"
广东省深圳市南山区龙城花园,"113.927921,22.511399"
广东省深圳市罗湖区金园,"114.110080,22.554726"
广东省深圳市罗湖区松泉阁,"114.126580,22.577690"
广东省深圳市龙岗区万科金色半山,"114.088274,22.630377"
广东省深圳市龙华区碧波花园,"114.024105,22.648893"
广东省深圳市南山区东方美地苑,"113.918941,22.538128"
广东省深圳市福田区海康大厦,"114.061386,22.567847"
广东省深圳市福田区金地海景花园a区,"114.041749,22.516034"
广东省深圳市福田区景田西,"114.041071,22.556816"
广东省深圳市宝安区泰安花园,"113.886515,22.565099"
广东省深圳市福田区景源华庭,"114.067526,22.524873"
广东省深圳市福田区竹盛花园三期,"114.005400,22.536290"
广东省深圳市龙岗区十二橡树庄园二期,"114.067467,22.624271"
广东省深圳市宝安区福华大厦,"113.822036,22.670512"
广东省深圳市福田区福昌苑,"114.043082,22.525246"
广东省深圳市龙华区汇龙苑,"114.042145,22.603700"
广东省深圳市福田区天一名居,"114.047065,22.555156"
广东省深圳市福田区皇庭居,"114.056047,22.566772"
广东省深圳市福田区荔林苑,"114.017747,22.541154"
广东省深圳市南山区桑泰丹华园三期,"113.965744,22.587658"
广东省深圳市福田区缔馨园,"114.051643,22.525267"
广东省深圳市福田区台湾花园,"114.102545,22.537155"
广东省深圳市龙华区玉华花园,"114.027004,22.640674"
广东省深圳市盐田区东和大厦,"114.235210,22.551239"
广东省深圳市福田区上梅林家园,"114.052995,22.565358"
广东省深圳市宝安区碧涛阁,"113.886557,22.564356"
广东省深圳市龙华区优品建筑,"114.022162,22.647571"
广东省深圳市福田区香荟雅苑,"114.024024,22.551691"
广东省深圳市宝安区海语西湾花园,"113.866003,22.556730"
广东省深圳市南山区保利城花园,"113.928765,22.516106"
广东省深圳市福田区澳新亚大厦,"114.068731,22.532294"
广东省深圳市南山区郁金香家园,"113.981566,22.561625"
广东省深圳市宝安区碧馨苑,"113.863045,22.566100"
广东省深圳市南山区卓越维港北区,"113.941249,22.497786"
广东省深圳市南山区梦想家园,"113.927001,22.512044"
广东省深圳市罗湖区华丽西村,"114.134958,22.550715"
广东省深圳市福田区长乐花园,"114.091072,22.553191"
广东省深圳市罗湖区华丽东村,"114.136453,22.551080"
广东省深圳市罗湖区集浩大厦,"114.135262,22.546427"
广东省深圳市龙岗区倚山别苑,"114.121740,22.621240"
广东省深圳市盐田区三环宿舍,"114.222601,22.555526"
广东省深圳市罗湖区宝湖名园,"114.143568,22.577675"
广东省深圳市罗湖区华隆园,"114.126954,22.550293"
广东省深圳市罗湖区化工大院,"114.129377,22.567602"
广东省深圳市福田区绿景新苑二期,"114.046193,22.524473"
广东省深圳市龙岗区华昱花园,"114.124352,22.611061"
广东省深圳市南山区厚德品园,"113.931068,22.525725"
广东省深圳市南山区中海丽苑,"113.920384,22.515506"
广东省深圳市南山区华联花园,"113.920346,22.520266"
广东省深圳市罗湖区洪湖花园,"114.120722,22.557095"
广东省深圳市福田区福岗园,"114.064430,22.537249"
广东省深圳市福田区恒运豪庭,"114.066162,22.533207"
广东省深圳市南山区鼎太风华五期,"113.911741,22.517853"
广东省深圳市龙华区芷峪澜湾花园,"114.040969,22.693875"
广东省深圳市福田区红树家邻,"114.021731,22.525941"
广东省深圳市龙岗区雅景苑二期,"114.196250,22.645612"
广东省深圳市南山区悠然居,"113.920983,22.500060"
广东省深圳市南山区朗景园,"113.950558,22.540989"
广东省深圳市福田区朗晴馨洲,"114.045638,22.527457"
广东省深圳市龙岗区大芬油画苑,"114.136095,22.606327"
广东省深圳市罗湖区翡翠园,"114.137419,22.583106"
广东省深圳市罗湖区翠景大厦,"114.127042,22.566861"
广东省深圳市宝安区雅涛花园,"113.871521,22.566124"
广东省深圳市福田区听泉居,"114.009472,22.552160"
广东省深圳市南山区凯丽花园,"113.939417,22.543292"
广东省深圳市罗湖区国都花园,"114.110896,22.548516"
广东省深圳市南山区龙都名园,"113.956641,22.570226"
广东省深圳市宝安区宝河大厦,"113.908324,22.561132"
广东省深圳市罗湖区鹏兴花园,"114.169298,22.558691"
广东省深圳市福田区润裕花园,"114.044287,22.566998"
广东省深圳市宝安区豪业华庭,"113.867075,22.560788"
广东省深圳市罗湖区乐扬枫景阁,"114.141518,22.558436"
广东省深圳市宝安区建安新村,"113.896355,22.573496"
广东省深圳市南山区愉康花园,"113.926835,22.527615"
广东省深圳市南山区阳光荔景,"113.925428,22.536791"
广东省深圳市盐田区半山半海,"114.240899,22.582892"
广东省深圳市宝安区海湾明珠花园二期,"113.860412,22.574097"
广东省深圳市福田区东方时代广场,"114.086107,22.545832"
广东省深圳市南山区后海名苑居,"113.932194,22.509699"
广东省深圳市南山区西湖林语名苑,"113.965533,22.592913"
广东省深圳市南山区蓝月湾畔,"113.935540,22.503978"
广东省深圳市福田区东方欣悦居,"114.053979,22.523509"
广东省深圳市龙华区丰泽湖山庄,"114.054507,22.595064"
广东省深圳市南山区国际市长交流中心,"113.966434,22.538747"
广东省深圳市宝安区建安花园,"113.902044,22.564788"
广东省深圳市南山区帝景园一期,"113.936438,22.541309"
广东省深圳市罗湖区湖景花园,"114.143714,22.585725"
广东省深圳市南山区佳嘉豪苑,"113.930664,22.516013"
广东省深圳市福田区云顶翠峰一期,"114.060825,22.517041"
广东省深圳市福田区鸿景湾名苑,"114.027803,22.522153"
广东省深圳市南山区锦隆花园,"113.933541,22.524550"
广东省深圳市罗湖区翡翠园二期,"114.137809,22.584329"
广东省深圳市福田区现代之窗,"114.087318,22.543847"
广东省深圳市罗湖区东晓花园,"114.137254,22.575189"
广东省深圳市南山区西海湾花园,"113.930910,22.517520"
广东省深圳市南山区桃苑小区,"113.924088,22.528231"
广东省深圳市罗湖区深港豪苑,"114.109961,22.550034"
广东省深圳市盐田区海都花园,"114.238719,22.556529"
广东省深圳市福田区圆梦园,"114.057286,22.509250"
广东省深圳市龙岗区第五园六期,"114.071950,22.615040"
广东省深圳市福田区江南名苑,"114.061612,22.515719"
广东省深圳市宝安区壆岗大厦,"113.822682,22.729229"
广东省深圳市宝安区中商花园,"113.898717,22.553683"
广东省深圳市福田区美莲大厦,"114.070562,22.554452"
广东省深圳市宝安区翡翠华庭,"113.905710,22.568994"
广东省深圳市罗湖区星桂园,"114.113865,22.545795"
广东省深圳市福田区枫桦景苑,"114.047010,22.550601"
广东省深圳市福田区合正佳园,"114.055794,22.525753"
广东省深圳市福田区福华阁,"114.065407,22.528244"
广东省深圳市南山区半岛花园b区,"113.934432,22.498987"
广东省深圳市南山区荔馨村,"113.923552,22.528499"
广东省深圳市南山区大陆庄园,"113.917687,22.527677"
广东省深圳市福田区景鹏大厦,"114.045893,22.556951"
广东省深圳市福田区翰岭院,"114.068869,22.572121"
广东省深圳市龙岗区湖光山舍,"114.103299,22.611706"
广东省深圳市宝安区泰华明珠,"113.885113,22.581277"
广东省深圳市宝安区金色华府,"113.886953,22.576767"
广东省深圳市龙华区梅花新园,"114.041260,22.622416"
广东省深圳市福田区赛格景苑,"114.037590,22.554055"
广东省深圳市罗湖区布心工业区,"114.137825,22.578923"
广东省深圳市龙岗区佳馨园,"114.253068,22.727608"
广东省深圳市南山区金晖大厦,"113.924764,22.509169"
广东省深圳市罗湖区金阳成大厦,"114.116658,22.543785"
广东省深圳市宝安区双龙花园,"113.875870,22.581582"
广东省深圳市龙岗区观山大卫华庭,"114.125601,22.622416"
广东省深圳市龙华区中央原著南区,"114.021470,22.629745"
广东省深圳市宝安区新安湖花园,"113.907581,22.563677"
广东省深圳市龙岗区四季花城七期,"114.057700,22.619681"
广东省深圳市龙岗区满庭芳,"114.140517,22.695272"
广东省深圳市罗湖区宝龙苑,"114.138737,22.570368"
广东省深圳市盐田区东部山海家园,"114.237519,22.559078"
广东省深圳市南山区桃花园三期,"113.916257,22.502220"
广东省深圳市福田区馨庭苑,"114.037080,22.557383"
广东省深圳市罗湖区云峰花园,"114.122969,22.538323"
广东省深圳市罗湖区鸿锦阁,"114.137876,22.542851"
广东省深圳市福田区福民大厦,"114.068895,22.522262"
广东省深圳市南山区翠竹园,"113.923407,22.497976"
广东省深圳市福田区好景豪园,"114.035660,22.518980"
广东省深圳市南山区佛山街,"113.978509,22.536919"
广东省深圳市龙华区城市明珠花园,"114.028474,22.665991"
广东省深圳市罗湖区通发花园,"114.149000,22.547115"
广东省深圳市罗湖区电影大厦,"114.113201,22.544947"
广东省深圳市南山区半山翠林花园,"113.960199,22.573327"
广东省深圳市福田区景发花园,"114.039198,22.550726"
广东省深圳市福田区景龙大厦,"114.045319,22.557955"
广东省深圳市福田区鹏丽大厦,"114.086524,22.532923"
广东省深圳市罗湖区港莲二村,"114.175085,22.558397"
广东省深圳市福田区鹏盛年华,"114.100788,22.556709"
广东省深圳市罗湖区鸿业苑,"114.132795,22.557125"
广东省深圳市龙岗区新鸿进花园,"114.239167,22.713959"
广东省深圳市福田区盛世鹏程,"114.097841,22.556768"
广东省深圳市盐田区裕宏园,"114.255185,22.589888"
广东省深圳市南山区水木华庭,"113.980269,22.562514"
广东省深圳市宝安区雅兰亭,"113.892237,22.572594"
广东省深圳市福田区百花公寓,"114.092162,22.551163"
广东省深圳市南山区海印长城小区,"113.932098,22.518698"
广东省深圳市罗湖区华瑞大厦,"114.109385,22.536487"
广东省深圳市南山区海月花园三期,"113.936894,22.496053"
广东省深圳市南山区方卉园,"113.927209,22.546586"
广东省深圳市宝安区佳华书苑雅阁,"113.917507,22.573582"
广东省深圳市南山区丽乐美居,"113.917715,22.536018"
广东省深圳市盐田区旭飞华逸园,"114.234950,22.559855"
