位置,经纬度
广东省深圳市福田区庆典大厦,"114.065918,22.528214"
广东省深圳市福田区天威花园,"114.065618,22.558233"
广东省深圳市福田区长安花园,"114.090020,22.552910"
广东省深圳市宝安区滨城新村,"113.898519,22.581476"
广东省深圳市龙岗区旭景佳园一期,"114.070434,22.624331"
广东省深圳市盐田区御景台,"114.243706,22.585053"
广东省深圳市南山区海珠城,"113.939603,22.517837"
广东省深圳市南山区汇景豪苑,"113.943179,22.540927"
广东省深圳市宝安区富源花园,"113.895768,22.558343"
广东省深圳市南山区海尚国际,"113.923530,22.486240"
广东省深圳市福田区金地花园,"114.034266,22.519524"
广东省深圳市南山区后海花园,"113.930896,22.513046"
广东省深圳市宝安区创业一村,"113.914000,22.580500"
广东省深圳市福田区国皇大厦,"114.064221,22.528101"
广东省深圳市盐田区心海假日,"114.310593,22.599343"
广东省深圳市宝安区威文大厦,"113.886535,22.566622"
广东省深圳市罗湖区鸿隆世纪广场,"114.114212,22.543418"
广东省深圳市南山区四达大厦,"113.925213,22.509833"
广东省深圳市罗湖区金泰名苑,"114.141213,22.568533"
广东省深圳市龙岗区上百间,"114.228188,22.677530"
广东省深圳市宝安区庆华花园,"113.899133,22.555031"
广东省深圳市龙岗区中海大山地花园,"114.177997,22.644926"
广东省深圳市南山区德尚世家,"113.895210,22.495368"
广东省深圳市南山区华府花园,"113.917363,22.528432"
广东省深圳市南山区观峰阁,"113.893956,22.496812"
广东省深圳市龙岗区华侨海景山庄,"114.406238,22.618310"
广东省深圳市龙岗区荔园新村,"114.071939,22.637926"
广东省深圳市南山区汇金家园,"113.927300,22.547946"
广东省深圳市宝安区裕宝大厦,"113.908687,22.559508"
广东省深圳市南山区中新街,"113.980549,22.535740"
广东省深圳市龙岗区君悦阁,"114.204517,22.647153"
广东省深圳市南山区龙坤居,"113.920445,22.512539"
广东省深圳市南山区学林雅院,"113.931219,22.524938"
广东省深圳市南山区汉京确悦,"113.892452,22.498128"
广东省深圳市福田区点彩人家,"114.056760,22.511765"
广东省深圳市宝安区新鹏苑,"113.904688,22.559964"
广东省深圳市宝安区雅然居,"113.893008,22.578798"
广东省深圳市南山区明舍御园,"113.926616,22.536649"
广东省深圳市福田区喜洋洋,"114.068870,22.530900"
广东省深圳市南山区鼎太风华社区,"113.910337,22.516556"
广东省深圳市福田区水畔紫云阁,"114.082409,22.527896"
广东省深圳市南山区中山颐景花园,"113.924487,22.548823"
广东省深圳市福田区金色假日,"114.044573,22.546255"
广东省深圳市南山区花园城五期,"113.919898,22.499938"
广东省深圳市福田区玮鹏花园,"114.094626,22.542192"
广东省深圳市宝安区碧涛居,"113.915198,22.571807"
广东省深圳市南山区碧涛苑,"113.913964,22.480486"
广东省深圳市南山区红树别院,"113.957045,22.546956"
广东省深圳市盐田区倚天阁,"114.302859,22.591860"
广东省深圳市龙岗区家和花园,"114.061565,22.613277"
广东省深圳市福田区荔园阁二期,"114.051298,22.567315"
广东省深圳市龙岗区和成世纪,"114.061199,22.626262"
广东省深圳市南山区登良花园,"113.922079,22.514089"
广东省深圳市盐田区倚山花园,"114.237422,22.561396"
广东省深圳市罗湖区西湖花园,"114.109180,22.550767"
广东省深圳市南山区招北小区,"113.923560,22.491707"
广东省深圳市罗湖区荔景大厦,"114.105128,22.545127"
广东省深圳市福田区豪峰园,"114.022542,22.553590"
广东省深圳市福田区众孚大厦,"114.052138,22.522524"
广东省深圳市罗湖区锦绣大厦,"114.131735,22.548965"
广东省深圳市宝安区鸿昌花园,"113.887011,22.573017"
广东省深圳市罗湖区蕙兰雅居,"114.181919,22.560092"
广东省深圳市福田区骏皇嘉园,"114.045264,22.524149"
广东省深圳市福田区京隆苑,"114.058766,22.515124"
广东省深圳市宝安区东江豪苑,"113.908465,22.555820"
广东省深圳市盐田区宝桐居,"114.224868,22.556293"
广东省深圳市宝安区金成名苑,"113.888099,22.562309"
广东省深圳市宝安区宝安新村,"113.892865,22.587976"
广东省深圳市罗湖区泰丽苑,"114.136873,22.550761"
广东省深圳市南山区常兴广场,"113.919602,22.530356"
广东省深圳市福田区东景大厦,"114.048319,22.542040"
广东省深圳市龙华区东源阁,"114.042708,22.651362"
广东省深圳市南山区豪方花园,"113.934222,22.543966"
广东省深圳市福田区福源大厦,"114.069500,22.531853"
广东省深圳市南山区振兴小区,"113.923560,22.491707"
广东省深圳市福田区绿景花园,"114.041736,22.522221"
广东省深圳市福田区华安园,"114.059737,22.565746"
广东省深圳市福田区嘉意台,"114.064572,22.520528"
广东省深圳市宝安区风采轩,"113.916027,22.575045"
广东省深圳市南山区招商海琴苑,"113.932435,22.500236"
广东省深圳市福田区新洲花园大厦,"114.049218,22.526527"
广东省深圳市南山区电力花园,"113.934578,22.514232"
广东省深圳市宝安区洪福雅苑,"113.893479,22.560599"
广东省深圳市福田区居雅苑,"114.062561,22.516079"
广东省深圳市罗湖区东深供水局宿舍,"114.151550,22.562573"
广东省深圳市福田区恒冠豪园,"114.054156,22.525578"
广东省深圳市福田区阳光城市家园,"114.070771,22.523203"
广东省深圳市南山区雷圳碧榕湾名苑,"113.904450,22.511402"
广东省深圳市宝安区曦谷花园,"113.896752,22.600081"
广东省深圳市宝安区裕华花园,"113.886989,22.568545"
广东省深圳市宝安区雅景居,"113.892704,22.574055"
广东省深圳市福田区金海丽名居,"114.042044,22.516859"
广东省深圳市福田区景尚雅苑,"114.033705,22.557911"
广东省深圳市福田区山水居,"114.043654,22.571096"
广东省深圳市福田区金地翠园,"114.053850,22.524245"
广东省深圳市南山区山水情家园,"113.907337,22.511628"
广东省深圳市罗湖区曦龙山庄,"114.155652,22.550204"
广东省深圳市福田区岭尚时代园,"114.097733,22.563871"
广东省深圳市福田区高科利花园大厦,"114.072238,22.536448"
广东省深圳市福田区翡翠名园,"114.066570,22.562250"
广东省深圳市南山区彩虹居,"113.931711,22.549120"
广东省深圳市罗湖区深纺大院,"114.127788,22.561848"
广东省深圳市南山区科技园58区,"113.951138,22.549512"
广东省深圳市罗湖区雅馨居,"114.111239,22.549075"
广东省深圳市南山区丰泽园,"113.898234,22.505748"
广东省深圳市龙岗区家和盛世花园二期,"114.231802,22.721664"
广东省深圳市龙岗区海语山林,"114.415060,22.628164"
广东省深圳市宝安区海滨广场,"113.891489,22.562697"
广东省深圳市福田区光华园,"114.092482,22.533677"
广东省深圳市宝安区荔园小区,"113.800926,22.697302"
广东省深圳市福田区金地名座,"114.039698,22.521541"
广东省深圳市龙岗区新亚洲广场,"114.197030,22.642299"
广东省深圳市福田区福兴花园二期,"114.045185,22.567125"
广东省深圳市福田区金海燕花园,"113.996680,22.529964"
广东省深圳市南山区海岸明珠,"113.931866,22.515835"
广东省深圳市福田区宏浩花园,"114.037447,22.552675"
广东省深圳市罗湖区仙湖山庄2期,"114.175033,22.570245"
广东省深圳市罗湖区瑞丰大厦,"114.125296,22.536363"
广东省深圳市罗湖区金湖山庄,"114.087483,22.574563"
广东省深圳市南山区海伴雅居,"113.920135,22.486344"
广东省深圳市罗湖区怡都大厦,"114.122607,22.533572"
广东省深圳市宝安区百合苑,"113.897532,22.571191"
广东省深圳市罗湖区红桂皇冠名庭,"114.109009,22.550075"
广东省深圳市宝安区海滨广场,"113.891516,22.562604"
广东省深圳市盐田区和亨家家园,"114.253194,22.590962"
广东省深圳市宝安区海乐花园,"113.861032,22.578546"
广东省深圳市龙华区壹城中心花园,"114.028028,22.649074"
广东省深圳市宝安区金达花园,"113.835401,22.635069"
广东省深圳市南山区榆园小区,"113.930081,22.503521"
广东省深圳市龙华区滢水山庄一区,"114.052957,22.599866"
广东省深圳市福田区新洲花园,"114.048154,22.525898"
广东省深圳市罗湖区双御雅轩,"114.127249,22.576320"
广东省深圳市罗湖区金贝苑,"114.128949,22.568037"
广东省深圳市福田区华富大厦,"114.047347,22.541366"
广东省深圳市福田区东海十八居,"114.025041,22.540011"
广东省深圳市南山区怡园大厦,"113.927342,22.526342"
广东省深圳市南山区荔庭园,"113.912953,22.510233"
广东省深圳市罗湖区华佳大厦,"114.122362,22.545788"
广东省深圳市福田区怡枫园,"114.045536,22.552859"
广东省深圳市福田区福田花园大厦,"114.047759,22.516895"
广东省深圳市福田区银庄大厦,"114.064639,22.521629"
广东省深圳市福田区福星阁,"114.067142,22.526391"
广东省深圳市福田区深业岭秀名苑,"114.057702,22.560900"
广东省深圳市龙岗区信和花园,"114.135546,22.612052"
广东省深圳市南山区汇宾广场二期,"113.917208,22.509585"
广东省深圳市南山区汇园雅居,"113.933958,22.543152"
广东省深圳市罗湖区天景花园,"114.141900,22.560033"
广东省深圳市罗湖区银座金钻,"114.121798,22.541502"
广东省深圳市龙华区海荣豪苑,"114.022060,22.664030"
广东省深圳市福田区水围新家园,"114.063211,22.521371"
广东省深圳市福田区泰然广场,"114.023885,22.527986"
广东省深圳市福田区益田花园一期,"114.056509,22.513391"
广东省深圳市南山区海典居,"113.927530,22.517849"
广东省深圳市福田区高发佳苑,"114.047150,22.517013"
广东省深圳市龙华区金玲花园,"114.029096,22.655872"
广东省深圳市盐田区瑞林苑,"114.237648,22.559061"
广东省深圳市南山区华侨城,"113.992885,22.537265"
广东省深圳市南山区华侨城,"113.992885,22.537265"
广东省深圳市南山区花果山大厦,"113.925178,22.493300"
广东省深圳市福田区长泰花园,"114.087275,22.551767"
广东省深圳市龙华区乐景花园,"114.028770,22.654946"
广东省深圳市福田区益田名园,"114.051042,22.517668"
广东省深圳市宝安区嘉华花园东区,"113.888915,22.582897"
广东省深圳市龙岗区翠枫豪园一期,"114.103210,22.611134"
广东省深圳市罗湖区鸿翠苑,"114.121445,22.582920"
广东省深圳市罗湖区万科桂苑,"114.113434,22.551697"
广东省深圳市福田区御庭园,"114.065085,22.519380"
广东省深圳市龙华区华美丽苑,"114.042647,22.631080"
广东省深圳市罗湖区金城大厦,"114.121829,22.543001"
广东省深圳市福田区长福花园,"114.071595,22.547326"
广东省深圳市宝安区欣荣苑,"113.888930,22.569009"
广东省深圳市南山区新街口大楼,"113.923739,22.506141"
广东省深圳市福田区建业大厦,"114.017878,22.536842"
广东省深圳市龙华区世纪华庭,"114.034562,22.659010"
广东省深圳市福田区香景大厦,"114.039696,22.552365"
广东省深圳市福田区先科花园,"114.061699,22.564941"
广东省深圳市南山区福满园,"113.917632,22.506003"
广东省深圳市龙岗区泓瀚苑,"114.061806,22.631896"
广东省深圳市罗湖区粤海新村,"114.136163,22.572670"
广东省深圳市龙华区华昱苑,"114.025523,22.653106"
广东省深圳市南山区鼎胜山邻,"113.973210,22.565681"
广东省深圳市福田区景田南,"114.045998,22.555549"
广东省深圳市罗湖区广东省银行大厦,"114.118532,22.535047"
广东省深圳市南山区中建二局二公司,"113.893093,22.496935"
广东省深圳市南山区荔海楼,"113.983858,22.539406"
广东省深圳市福田区城市主场,"114.095885,22.558001"
广东省深圳市龙岗区万科城一期,"114.067546,22.643864"
广东省深圳市福田区竹盛花园,"114.005022,22.535663"
广东省深圳市罗湖区广场北街,"114.109730,22.545107"
广东省深圳市南山区金色海琴苑,"113.937385,22.487288"
广东省深圳市宝安区海云轩,"113.893736,22.557756"
广东省深圳市宝安区泰华苑,"113.899944,22.552464"
广东省深圳市南山区陶然居,"113.974452,22.541472"
广东省深圳市南山区阳光华艺大厦,"113.928450,22.525501"
广东省深圳市福田区深华公寓,"114.049590,22.562991"
广东省深圳市南山区硅谷别墅,"113.956451,22.551585"
广东省深圳市福田区众孚花园,"114.050980,22.522014"
广东省深圳市宝安区恒安花园,"113.915301,22.569128"
广东省深圳市福田区新桂花村,"114.065118,22.516614"
广东省深圳市宝安区锦欣花园,"113.857087,22.578703"
广东省深圳市南山区桃花园,"113.924007,22.533098"
广东省深圳市龙岗区超群大厦,"114.128394,22.601997"
广东省深圳市龙华区锦绣花园,"114.024179,22.646467"
广东省深圳市南山区华采花园,"113.920318,22.497470"
广东省深圳市宝安区佳华新村,"113.894331,22.584762"
广东省深圳市南山区好来居,"113.923305,22.521208"
广东省深圳市福田区恒星园,"114.021522,22.553114"
广东省深圳市罗湖区新丰大厦,"114.140172,22.563866"
广东省深圳市福田区玮鹏花园,"114.094626,22.542192"
广东省深圳市南山区深华园,"113.919002,22.517543"
广东省深圳市南山区弘都世纪公寓,"113.936225,22.495188"
广东省深圳市宝安区佳华名苑,"113.877919,22.563554"
广东省深圳市龙华区新华苑二期,"114.036484,22.655111"
广东省深圳市福田区香荔绿洲,"114.026051,22.540762"
广东省深圳市南山区雍华府,"113.928132,22.500644"
广东省深圳市罗湖区景园大厦,"114.105637,22.552260"
广东省深圳市南山区华侨城,"113.992885,22.537265"
广东省深圳市南山区鸿瑞花园一期,"113.926846,22.522673"
广东省深圳市宝安区雅仕阁,"113.897276,22.575328"
广东省深圳市盐田区三家店住宅楼,"114.229079,22.549984"
广东省深圳市南山区皇庭香格里花园,"113.979780,22.561732"
广东省深圳市福田区皇家翠苑,"114.072404,22.544335"
广东省深圳市龙华区煜丰泽花园广场,"114.021056,22.661370"
广东省深圳市罗湖区罗芳苑,"114.147291,22.546940"
广东省深圳市南山区帝景园二期,"113.937600,22.541082"
广东省深圳市福田区香蜜二村,"114.041518,22.543891"
广东省深圳市南山区缘来居,"113.934211,22.545861"
广东省深圳市宝安区宏发君域,"113.839621,22.778312"
广东省深圳市南山区福园单身公寓,"113.951065,22.557267"
广东省深圳市罗湖区聚福花园,"114.172042,22.560845"
广东省深圳市福田区雅云轩,"114.055008,22.525186"
广东省深圳市宝安区金景豪苑,"113.888204,22.562791"
广东省深圳市南山区前海华庭,"113.925072,22.536175"
广东省深圳市龙岗区颂雅苑,"114.184488,22.651265"
广东省深圳市南山区恒裕滨城花园,"113.939354,22.494943"
广东省深圳市南山区桑泰丹华园二期,"113.964863,22.586963"
广东省深圳市南山区向南海德大厦,"113.919658,22.522720"
广东省深圳市福田区海连大厦,"114.069866,22.544294"
广东省深圳市福田区红梅苑,"114.048338,22.565736"
广东省深圳市龙华区赛龙豪轩,"114.026293,22.655270"
广东省深圳市南山区云栖西岸阁,"113.910477,22.529177"
广东省深圳市罗湖区颐园别墅,"114.087280,22.576491"
广东省深圳市南山区高发公寓,"113.974648,22.556577"
广东省深圳市龙华区泰华新村,"114.046991,22.646530"
广东省深圳市南山区枕荔楼,"113.982679,22.536843"
广东省深圳市盐田区海鹏苑,"114.245747,22.561807"
广东省深圳市福田区长城大厦,"114.089632,22.551306"
广东省深圳市福田区碧景园,"114.043825,22.552254"
广东省深圳市龙岗区信义假日名城,"114.123810,22.595673"
广东省深圳市宝安区集信名城,"113.848766,22.778799"
广东省深圳市福田区幸福家园,"114.036608,22.556922"
广东省深圳市罗湖区翠景山庄,"114.127851,22.577895"
广东省深圳市南山区惠中名苑,"113.917622,22.515057"
广东省深圳市罗湖区景贝北,"114.142020,22.555380"
广东省深圳市罗湖区海丰苑,"114.118152,22.540586"
广东省深圳市福田区翔名苑,"114.036628,22.554880"
广东省深圳市福田区福宇轩,"114.043295,22.528641"
广东省深圳市宝安区洪浪二村,"113.903497,22.595908"
广东省深圳市宝安区圣源华庭,"113.867117,22.565135"
广东省深圳市龙华区宇峰苑,"114.021486,22.646195"
广东省深圳市福田区嘉洲华苑,"114.044790,22.528837"
广东省深圳市南山区华侨城,"113.992885,22.537265"
广东省深圳市南山区深南花园,"113.944613,22.540971"
广东省深圳市宝安区宝湖居,"113.911613,22.569296"
广东省深圳市南山区鸿瑞花园二期,"113.926103,22.520467"
广东省深圳市宝安区景富苑,"113.889591,22.564743"
广东省深圳市宝安区阳光新居,"113.857908,22.609466"
广东省深圳市南山区豪园花园,"113.926130,22.528644"
广东省深圳市罗湖区威登别墅,"114.105741,22.547901"
广东省深圳市福田区雍祥居,"114.024367,22.539866"
广东省深圳市南山区华府假日大厦,"113.918895,22.487992"
广东省深圳市龙华区星河丹堤,"114.057882,22.593989"
广东省深圳市罗湖区住宅,"114.106343,22.544309"
广东省深圳市福田区皇岗花园,"114.065106,22.527723"
广东省深圳市南山区海湾花园别墅,"113.921925,22.486037"
广东省深圳市南山区海景广场,"113.913464,22.483524"
广东省深圳市宝安区俊景园,"113.840868,22.637264"
广东省深圳市宝安区湖景居,"113.910862,22.561375"
广东省深圳市南山区育德佳园二期,"113.932703,22.510417"
广东省深圳市罗湖区锦星花园,"114.133374,22.541957"
广东省深圳市龙岗区西湖苑,"114.301058,22.768440"
广东省深圳市罗湖区中华花园,"114.123280,22.576641"
广东省深圳市南山区晶品居,"113.933995,22.545106"
广东省深圳市福田区祥韵苑,"114.054476,22.526739"
广东省深圳市福田区福荣阁,"114.067003,22.526980"
广东省深圳市福田区雨田村一期,"114.055950,22.560562"
广东省深圳市盐田区海关住宅楼,"114.223786,22.553427"
广东省深圳市宝安区旭仕达名苑,"113.892297,22.578678"
广东省深圳市南山区龙电花园a区,"113.919156,22.503959"
广东省深圳市福田区新浩城花园,"113.996643,22.531323"
广东省深圳市宝安区新安市场,"113.893133,22.564806"
广东省深圳市盐田区天浩商住楼,"114.236505,22.554471"
广东省深圳市福田区百兴苑,"114.057022,22.565173"
广东省深圳市福田区集华花园,"114.064666,22.526175"
广东省深圳市宝安区宝佳苑,"113.890197,22.570071"
广东省深圳市宝安区怡合花园,"113.906580,22.575716"
广东省深圳市南山区蛇口雷公岭,"113.933860,22.495865"
广东省深圳市福田区华明楼,"114.065770,22.526773"
广东省深圳市宝安区海天花园,"113.894294,22.561678"
广东省深圳市罗湖区仙桐雅轩,"114.161463,22.565262"
广东省深圳市南山区湖滨花园,"113.984738,22.536260"
广东省深圳市南山区建兴楼,"113.954250,22.580929"
广东省深圳市福田区景田怡华苑,"114.037996,22.557917"
广东省深圳市罗湖区湖滨阁,"114.138534,22.558276"
广东省深圳市宝安区嘉华花园西区,"113.885925,22.580711"
广东省深圳市南山区英伦名苑三期,"113.955617,22.547208"
广东省深圳市宝安区盛迪嘉光明,"113.928385,22.736622"
广东省深圳市宝安区景福花园,"113.892513,22.667555"
广东省深圳市宝安区新宝苑,"113.905018,22.560088"
广东省深圳市宝安区兴业华庭,"113.888379,22.564839"
广东省深圳市龙岗区新龙岗花园,"114.254507,22.735213"
广东省深圳市罗湖区深港新村,"114.148179,22.550506"
广东省深圳市龙华区锦绣御园二期,"114.027485,22.658419"
广东省深圳市盐田区和亨雅园,"114.267563,22.589201"
广东省深圳市龙岗区阳明公寓,"114.061727,22.634500"
广东省深圳市福田区锦河苑,"114.040762,22.524274"
广东省深圳市罗湖区交运综合楼,"114.149838,22.547649"
广东省深圳市南山区桑泰丹华园,"113.965661,22.590520"
广东省深圳市宝安区宝利豪庭,"113.851244,22.762137"
广东省深圳市南山区四季丽晶,"113.919908,22.534266"
广东省深圳市罗湖区聚宝花园,"114.174630,22.560641"
广东省深圳市南山区秀林新居,"113.925204,22.535478"
广东省深圳市南山区汇文楼,"113.983465,22.539338"
广东省深圳市宝安区石鸿花园,"113.901071,22.554461"
广东省深圳市福田区时代星居,"114.066528,22.523008"
广东省深圳市南山区海昌阁,"113.925979,22.518240"
广东省深圳市福田区中康生活区,"114.055040,22.569143"
广东省深圳市福田区益田花园e区,"114.057552,22.512586"
广东省深圳市福田区意馨居,"114.101220,22.564725"
广东省深圳市福田区东方富苑,"114.058891,22.564981"
广东省深圳市福田区金桂大厦,"114.063069,22.514704"
广东省深圳市福田区皇洲花园,"114.071804,22.530900"
广东省深圳市南山区永安单身宿舍,"113.921969,22.510243"
广东省深圳市南山区海岸卡夫诺,"113.915665,22.540805"
广东省深圳市南山区世界花园香山居,"113.975562,22.539471"
广东省深圳市宝安区裕安楼,"113.907833,22.580500"
广东省深圳市宝安区碧海湾花园,"113.860984,22.576575"
广东省深圳市南山区荔芳村,"113.922957,22.527407"
广东省深圳市盐田区深盐商住楼,"114.229030,22.553820"
广东省深圳市南山区海龙苑,"113.974971,22.558198"
广东省深圳市宝安区龙腾阁,"113.819349,22.672708"
广东省深圳市盐田区山泉小区,"114.227362,22.555332"
广东省深圳市盐田区鹏湾一村,"114.236225,22.553059"
广东省深圳市龙华区碧波花园,"114.024105,22.648893"
广东省深圳市福田区华轩大厦,"114.064313,22.527535"
广东省深圳市南山区荔秀华庭,"113.926958,22.535400"
广东省深圳市罗湖区仙湖,"114.174956,22.578596"
广东省深圳市罗湖区西岭花园,"114.155660,22.551909"
广东省深圳市南山区沙河高尔夫别墅,"113.970800,22.552130"
广东省深圳市盐田区星港名苑,"114.268810,22.588823"
广东省深圳市宝安区宝兴花园,"113.877875,22.587749"
广东省深圳市盐田区创意大厦,"114.230985,22.542852"
广东省深圳市南山区倚荔楼,"113.981995,22.537009"
广东省深圳市宝安区新城花园,"113.895069,22.565412"
广东省深圳市罗湖区时尚新居,"114.112212,22.568017"
广东省深圳市罗湖区华港新村,"114.124207,22.587566"
广东省深圳市盐田区鹏湾一村,"114.236225,22.553059"
广东省深圳市盐田区鹏湾一村,"114.236225,22.553059"
广东省深圳市盐田区鹏湾一村,"114.236225,22.553059"
广东省深圳市龙华区壹城中心花园,"114.028028,22.649074"
广东省深圳市南山区地铁前海时代广场,"113.901714,22.525536"
广东省深圳市龙华区壹城中心花园,"114.028028,22.649074"
广东省深圳市盐田区鹏湾一村,"114.236225,22.553059"
